youtubeId,title,channel,bpm,key
47C5k6IC4UM,Jörg-Peter Siebert / Lied vom Bauern und der Alten Dame (Einleitung),Vinyle Archéologie,,
tECqBtP_Nso,The Green Sound / Adagio in Sol Min,Vinyle Archéologie,,
TFf5OrD3YU4,Juan Carlos Calderón y Su Taller de Música / Villa Asunción,Vinyle Archéologie,,
sqf9Sd2VNgs,Анатолий Вапиров и Ленинградский Джаз Ансамбль / Воспоминание,Vinyle Archéologie,,
-bKcWuNPtcw,Paolo Vasile / Sequenza 20,Vinyle Archéologie,,
Zo5ItKFaTz8,Dan Kirsten / Electric Bass Color #6,Vinyle Archéologie,,
3pYmCfq9Fcc,Zipflo Reinhardt / Do You Like Music,Vinyle Archéologie,,
UBh86Tr6hNo,Spitfire Debs / Jingle,Vinyle Archéologie,112,Am
1-8kkaIzLjw,The Vindonissa Jazz Orchestra / Naima,Vinyle Archéologie,,
tTz-Kh8vUbk,木森敏之 / 夢のセレナーデ,Vinyle Archéologie,,
-Ss7LcPgLww,Wavestar / Chord,Vinyle Archéologie,,
PVeroQkRlfQ,The Sidewalk Sounds / Bedroom Theme,Vinyle Archéologie,,
zGC4clP7zm8,Michel Magne / Musique Réception,Vinyle Archéologie,,
FoHdGPJDH6s,The New Alfred Lora Swingtett / Interpolation,Vinyle Archéologie,,
szW_vLmYfbE,Graham Lyons / Pastoral Scene,Vinyle Archéologie,,
hfq81PBkOU0,Gianni Safred + His Electronic Instruments / Spheres,Vinyle Archéologie,,
lbU83Xw_MhQ,Gianni Safred and His Electronic Instruments / Last Rain,Vinyle Archéologie,,
ljTrIHQkCTY,RIPPLE / Break Song,Vinyle Archéologie,,
APPfHb8tLPA,The Montagnana Trio / Song(s) of the Sirens,Vinyle Archéologie,,
e--k18kJBg8,Kenny Wheeler / Song for Someone,Vinyle Archéologie,,
MnipoQgwoqg,Lol Coxhill / Introduction,Vinyle Archéologie,,
ZDSB5YnkYuQ,The New Concert Orchestra / Night Shade,Vinyle Archéologie,,
O-z70B0AJTA,Hopewell Concert Choir / Help,Vinyle Archéologie,,
rL4yoMtIIDI,Muscle Shoals Horns / She Was Once My Woman,Vinyle Archéologie,,
9tPWZLzGdeU,SOUNDS NICE / Summer's End,Vinyle Archéologie,,
AT02m3-DZYI,"David ""Fathead"" Newman / Dance of the Honey Bee and the Funky Fly",Vinyle Archéologie,,
TBjiqziJRSs,Claude Léveillée / Requiem pour un Astronaute,Vinyle Archéologie,,
e0x3c_pslZk,Ebony Rhythm Band / Outro,Vinyle Archéologie,,
kgzBCQS1B-M,Gérard Gesina / To Thwart Soul,Vinyle Archéologie,,
praO2cWqxZI,Guido Carnagy / Last Tango in Paris,Vinyle Archéologie,,
RENUOUvjdVA,NOCTETT / Bike Song,Vinyle Archéologie,,
iFllCCk2V6A,STRING CONNECTION / Progresje Jesieni,Vinyle Archéologie,,
vwQJVd435fM,John Klemmer / Summer Song,Vinyle Archéologie,,
VRRqUrBxGKY,Ann Sorel / Le Prélude et la Suite,Vinyle Archéologie,,
4C01_FnVD8c,MUSIC MAGIC / Daydreams,Vinyle Archéologie,,
bhpK_n9Zq6c,Emphasis on Jazz / Kuroda-Bushi,Vinyle Archéologie,117,G#m
6uBtiDi18as,The Keyboard Conclave / Bubbles,Vinyle Archéologie,,
ByeAPBQuS8Q,София Ротару / Осенняя Песня,Vinyle Archéologie,,
IORJYzluBkg,Astral Sounds / Frozen Clock,Vinyle Archéologie,,
mhgz9DrhoOg,ZAP-POW / This Is Reggae Music,Vinyle Archéologie,,
QenGpDRAIHk,APOCALYPSE / Twilight Music,Vinyle Archéologie,,
